iter	RMSE
0	599.9285311
1	560.1519656
2	524.4195489
3	494.1013646
4	464.7610461
5	439.1317367
6	414.1435319
7	390.801414
8	372.4522401
9	354.8103238
10	339.4221345
11	325.8294845
12	312.9469103
13	303.1315464
14	293.8217985
15	284.3099604
16	276.2622301
17	269.4100267
18	263.3180453
19	255.769016
20	248.6121376
21	243.1306457
22	239.1110063
23	234.1766193
24	229.0781852
25	226.3295369
26	223.2232881
27	219.7519874
28	217.1502714
29	214.6129463
30	212.1583381
31	211.3487123
32	207.9683516
33	205.8298081
34	203.1722535
35	201.3903594
36	200.123545
37	198.7856358
38	197.5472221
39	196.3343285
40	194.5691538
41	193.2276523
42	191.3892286
43	189.903608
44	188.9636532
45	187.5589532
46	185.7162887
47	184.5119444
48	183.5051016
49	182.9070743
50	180.5278328
51	179.3304305
52	178.6790553
53	176.6543504
54	175.8058195
55	174.3106605
56	173.6055041
57	172.6269923
58	171.8803716
59	171.0802295
60	170.5043833
61	169.3784706
62	168.7582866
63	167.965253
64	166.8576204
65	165.7885547
66	164.4317878
67	162.6056625
68	162.2262947
69	161.6308952
70	161.0157583
71	160.4558493
72	159.6616424
73	158.9321134
74	157.7149532
75	156.6890745
76	155.3633585
77	154.6647521
78	154.104552
79	153.16968
80	151.5955164
81	150.7650933
82	149.7633632
83	148.7884921
84	147.4869631
85	146.1685865
86	145.44791
87	144.5619109
88	143.704546
89	142.0530805
90	141.1808523
91	140.2046166
92	139.589151
93	138.2845496
94	137.2538369
95	136.2451695
96	135.2564158
97	134.2889445
98	133.1800509
99	132.0598989
100	131.2563471
101	130.6701763
102	130.0478375
103	129.2532422
104	128.6765428
105	127.5070937
106	126.5147795
107	125.66608
108	124.6527484
109	124.0279139
110	123.0595221
111	122.2780555
112	121.303433
113	120.6291628
114	119.8983457
115	119.1074666
116	118.1461195
117	117.5413098
118	116.9466964
119	115.9554685
120	114.7089583
121	113.7511712
122	113.0035529
123	111.9425286
124	111.2997216
125	110.7094169
126	110.1337103
127	109.4884731
128	109.0824316
129	108.2895734
130	107.6716808
131	107.0552839
132	106.7545376
133	106.1465342
134	105.4017142
135	104.6083225
136	103.9825139
137	103.3714267
138	102.7099899
139	102.0701284
140	101.5546551
141	101.0360942
142	100.4821167
143	99.69597993
144	99.12990623
145	98.6762661
146	98.10251828
147	97.61737524
148	97.17592124
149	96.44662526
150	95.82182166
151	95.4278578
152	95.01825106
153	94.70302146
154	94.31967287
155	93.79839285
156	93.04083205
157	92.84981971
158	92.23822735
159	91.57519827
160	91.10191489
161	90.66718483
162	90.20317721
163	89.48008351
164	89.23174817
165	88.66266089
166	88.18762452
167	87.68361568
168	87.20967243
169	86.87832113
170	86.40215605
171	86.05725074
172	85.56529421
173	85.1807615
174	84.52494652
175	84.46036159
176	83.88367813
177	83.58061097
178	83.01844485
179	82.7008453
180	82.65542821
181	82.27546847
182	81.86083246
183	81.35234481
184	80.84070458
185	80.71956335
186	80.19645916
187	79.93261829
188	79.87391935
189	79.43104337
190	79.16644779
191	78.78835861
192	78.51371676
193	78.205513
194	77.69552371
195	77.1324998
196	76.89411826
197	76.71737864
198	76.53984273
199	76.20429845
200	75.72707285
201	75.42828149
202	75.09752101
203	74.91120703
204	74.66467968
205	74.62466093
206	74.17921317
207	73.86967164
208	73.50967793
209	73.28864235
210	73.08863264
211	72.97982095
212	72.77056286
213	72.52104973
214	72.14187059
215	71.86279606
216	71.26700518
217	70.9422673
218	70.61486509
219	70.15088388
220	69.75641139
221	69.57760568
222	69.24462263
223	68.97044517
224	68.58826429
225	68.45899664
226	68.24734899
227	67.81111636
228	67.42268317
229	67.03030936
230	66.63135026
231	66.24593813
232	66.00443106
233	65.76943244
234	65.57072461
235	65.31196399
236	64.94190029
237	64.61861321
238	64.30542151
239	63.87019856
240	63.63910796
241	63.25859771
242	62.97769467
243	62.7125359
244	62.46952401
245	62.26069244
246	61.89912787
247	61.70514635
248	61.41101097
249	61.08583751
250	60.74220636
251	60.36754544
252	60.07143275
253	59.76901264
254	59.41761074
255	59.12919337
256	58.78241256
257	58.54037033
258	58.26602051
259	57.91339423
260	57.66801203
261	57.4245005
262	57.16279432
263	56.89042893
264	56.66497982
265	56.4139247
266	56.16671477
267	55.98855998
268	55.84925435
269	55.54554992
270	55.30728244
271	55.11294272
272	54.78630873
273	54.6016085
274	54.38166311
275	54.07582919
276	54.00648761
277	53.80051027
278	53.55780773
279	53.32107484
280	52.94726094
281	52.66638082
282	52.44736939
283	52.12665253
284	52.02856048
285	51.68055913
286	51.40405372
287	51.34755794
288	51.0460287
289	50.92987632
290	50.67005281
291	50.48865196
292	50.31144883
293	50.15015587
294	49.91660009
295	49.74896621
296	49.52158216
297	49.2729655
298	49.1437501
299	48.9514389
300	48.78193852
301	48.63582824
302	48.62084996
303	48.54064762
304	48.28583018
305	48.10249731
306	48.08647567
307	47.85806451
308	47.67679096
309	47.45408087
310	47.28343001
311	47.11723606
312	46.92744448
313	46.72668242
314	46.58759119
315	46.3024831
316	46.08282141
317	45.89316042
318	45.70199638
319	45.42131293
320	45.3107143
321	45.07291856
322	44.99211932
323	44.82919943
324	44.66049906
325	44.41527147
326	44.14428813
327	43.96242571
328	43.62320847
329	43.49674768
330	43.36002933
331	43.1975091
332	43.02672663
333	42.83278607
334	42.73022542
335	42.48979447
336	42.35169302
337	42.11332353
338	42.02741914
339	41.84974166
340	41.70653942
341	41.52438301
342	41.31379395
343	41.18529733
344	40.9935502
345	40.77773527
346	40.62440935
347	40.45181399
348	40.36276059
349	40.19359521
350	39.92524626
351	39.76929464
352	39.64841511
353	39.47953282
354	39.32982176
355	39.26364011
356	39.11612682
357	39.02114053
358	38.81404472
