iter	Passed	Remaining
380	60372	98085
381	60542	97946
382	60722	97822
383	60902	97697
384	61132	97653
385	61342	97575
386	61532	97465
387	61732	97371
388	61922	97261
389	62113	97151
390	62294	97026
391	62523	96974
392	62733	96892
393	62923	96780
394	63111	96665
395	63282	96521
396	63492	96437
397	63680	96321
398	63861	96191
399	64050	96075
400	64250	95975
401	64439	95858
402	64609	95712
403	64769	95551
404	64930	95391
405	65090	95231
406	65261	95086
407	65411	94911
408	65571	94750
409	65751	94617
410	65921	94470
411	66071	94296
412	66212	94107
413	66362	93933
414	66521	93770
415	66691	93624
416	66862	93478
417	67042	93345
418	67221	93212
419	67371	93037
420	67552	92904
421	67702	92730
422	67722	92378
423	67892	92231
424	68073	92099
425	68284	92007
426	68444	91846
427	68624	91712
428	68813	91590
429	68983	91442
430	69182	91334
431	69353	91186
432	69413	90894
433	69583	90746
434	69772	90624
435	69952	90489
436	70132	90353
437	70312	90218
438	70481	90068
439	70641	89907
440	70792	89734
441	70952	89574
442	71122	89424
443	71272	89251
444	71433	89091
445	71493	88805
446	71722	88730
447	71892	88581
448	72053	88421
449	72214	88261
450	72384	88112
451	72544	87951
452	72694	87779
453	72863	87628
454	73013	87456
455	73183	87306
456	73343	87145
457	73512	86995
458	73692	86857
459	73872	86720
460	74042	86570
461	74222	86432
462	74421	86315
463	74572	86143
464	74723	85971
465	74883	85810
466	75083	85695
467	75243	85533
468	75384	85349
469	75544	85188
470	75694	85015
471	75844	84843
472	76024	84703
473	76165	84520
474	76305	84338
475	76455	84165
476	76604	83991
477	76754	83819
478	76903	83647
479	77053	83474
480	77204	83303
481	77384	83164
482	77573	83034
483	77744	82884
484	77913	82732
485	78063	82561
486	78253	82431
487	78452	82310
488	78632	82170
489	78792	82008
490	78972	81867
491	79121	81694
492	79311	81563
493	79490	81421
494	79670	81279
495	79850	81138
496	80020	80986
497	80199	80843
498	80359	80681
499	80510	80510
500	80670	80348
501	80850	80206
502	81029	80063
503	81179	79891
504	81349	79738
505	81538	79605
506	81738	79481
507	81898	79319
508	82078	79176
509	82247	79022
510	82418	78870
511	82589	78717
512	82739	78546
513	82908	78391
514	83048	78210
515	83208	78048
516	83350	77868
517	83510	77706
518	83650	77525
519	83800	77354
520	83970	77201
521	84130	77038
522	84289	76876
523	84480	76741
524	84660	76597
525	84810	76426
526	84970	76263
527	85129	76100
528	85279	75929
529	85459	75784
530	85618	75621
531	85798	75476
532	85978	75332
533	86138	75169
534	86297	75006
535	86478	74861
536	86648	74707
537	86828	74562
538	86979	74392
539	87150	74239
540	87319	74084
541	87479	73921
542	87639	73759
543	87810	73606
544	87980	73451
545	88151	73297
546	88320	73143
547	88460	72963
548	88629	72808
549	88780	72638
550	88929	72466
551	89089	72304
552	89229	72126
553	89409	71979
554	89578	71824
555	89729	71654
556	89879	71484
557	90050	71329
558	90201	71160
559	90361	70998
560	90511	70828
561	90672	70666
562	90832	70504
563	90983	70334
564	91143	70172
565	91164	69903
566	91315	69734
567	91485	69580
568	91654	69425
569	91804	69256
570	91965	69094
571	92125	68932
572	92285	68771
573	92455	68616
574	92634	68468
575	92813	68321
576	92974	68159
577	93134	67997
578	93293	67835
579	93463	67680
580	93632	67524
581	93783	67356
582	93952	67201
583	94102	67032
584	94272	66877
585	94432	66715
586	94592	66552
587	94752	66391
588	94911	66228
589	95072	66067
590	95243	65912
591	95393	65744
592	95544	65575
593	95703	65413
594	95883	65265
595	96034	65097
596	96194	64935
597	96354	64773
598	96524	64617
599	96693	64462
600	96883	64320
601	97073	64178
602	97252	64028
603	97432	63879
604	97591	63717
605	97752	63555
606	97931	63405
607	98101	63249
608	98281	63099
609	98441	62938
610	98601	62776
611	98752	62607
612	98922	62451
613	99082	62289
614	99243	62127
615	99402	61965
616	99553	61797
617	99704	61629
618	99864	61467
619	100023	61304
620	100174	61136
621	100333	60974
622	100483	60806
623	100623	60632
624	100783	60469
625	100933	60302
626	101094	60140
627	101245	59973
628	101406	59812
629	101566	59650
630	101727	59488
631	101897	59332
632	102057	59170
633	102226	59013
634	102376	58846
635	102536	58684
636	102697	58522
637	102837	58350
638	103008	58194
639	103178	58037
640	103337	57875
641	103507	57719
642	103677	57562
643	103837	57401
644	103997	57239
645	104157	57077
646	104337	56925
647	104477	56753
648	104636	56590
649	104787	56424
650	104938	56257
651	105087	56089
652	105246	55927
653	105387	55755
654	105537	55588
655	105707	55431
656	105857	55264
657	106008	55098
658	106179	54942
659	106310	54766
660	106451	54594
661	106592	54423
662	106753	54262
663	106913	54100
664	107072	53938
665	107223	53772
666	107392	53615
667	107571	53463
668	107751	53312
669	107902	53145
670	108082	52994
671	108281	52851
672	108461	52699
673	108641	52547
674	108791	52381
675	108951	52219
676	109102	52053
677	109253	51887
678	109413	51725
679	109593	51573
680	109744	51407
681	109904	51245
682	110055	51079
683	110205	50913
684	110365	50752
685	110526	50590
686	110686	50429
687	110836	50263
688	111007	50106
689	111187	49953
690	111338	49788
691	111497	49626
692	111648	49460
693	111808	49298
694	111988	49146
695	112168	48992
696	112347	48839
697	112527	48686
698	112697	48529
699	112877	48375
700	113056	48222
701	113216	48060
702	113385	47902
703	113545	47740
704	113715	47583
705	113895	47429
706	114045	47263
707	114194	47097
708	114374	46943
709	114524	46777
710	114674	46611
711	114834	46450
712	114985	46284
713	115155	46126
714	115305	45960
715	115455	45795
716	115597	45626
717	115757	45464
718	115917	45303
719	116088	45145
720	116238	44980
721	116400	44818
722	116580	44665
723	116749	44506
724	116929	44352
725	117110	44198
726	117279	44040
727	117429	43874
728	117598	43716
729	117748	43550
730	117918	43392
731	118088	43234
732	118258	43076
733	118427	42917
734	118607	42763
735	118787	42608
736	118966	42453
737	119156	42302
738	119345	42150
739	119506	41988
740	119666	41826
741	119846	41671
742	120007	41509
743	120157	41344
744	120326	41185
745	120485	41023
746	120646	40861
747	120797	40696
748	120946	40530
749	121096	40365
750	121246	40200
751	121426	40045
752	121577	39879
753	121727	39714
754	121887	39552
755	122056	39393
756	122205	39228
757	122356	39063
758	122516	38901
759	122666	38736
760	122817	38571
761	122966	38406
762	123116	38241
763	123295	38086
764	123436	37918
765	123586	37753
766	123736	37588
767	123895	37426
768	124056	37265
769	124235	37109
770	124395	36947
771	124545	36782
772	124716	36624
773	124866	36459
774	125037	36301
775	125187	36136
776	125348	35975
777	125489	35808
778	125649	35646
779	125810	35484
780	125970	35323
781	126120	35158
782	126270	34994
783	126430	34832
784	126571	34665
785	126721	34501
786	126881	34340
787	127040	34178
788	127201	34017
789	127361	33855
790	127522	33694
791	127690	33534
792	127850	33373
793	128001	33209
794	128181	33053
795	128332	32889
796	128520	32734
797	128681	32573
798	128842	32412
799	129022	32255
800	129212	32101
801	129393	31945
802	129563	31785
803	129714	31621
804	129885	31462
805	130045	31301
806	130205	31139
807	130356	30975
808	130526	30816
809	130706	30659
810	130866	30497
811	131025	30336
812	131196	30176
813	131367	30017
814	131536	29858
815	131696	29696
816	131865	29536
817	132025	29374
818	132186	29213
819	132356	29053
820	132516	28892
821	132676	28730
822	132866	28575
823	133035	28415
824	133185	28251
825	133355	28091
826	133505	27928
827	133646	27762
828	133795	27598
829	133955	27436
830	134135	27279
831	134295	27117
832	134476	26959
833	134666	26804
834	134866	26650
835	135045	26492
836	135235	26336
837	135415	26178
838	135585	26018
839	135735	25854
840	135905	25694
841	136085	25536
842	136244	25374
843	136414	25214
844	136604	25057
845	136784	24899
846	136954	24739
847	137105	24575
848	137246	24410
849	137415	24249
850	137575	24087
851	137736	23926
852	137915	23767
853	138086	23607
854	138246	23445
855	138416	23284
856	138576	23123
857	138745	22962
858	138925	22803
859	139095	22643
860	139265	22483
861	139445	22324
862	139636	22167
863	139826	22009
864	140006	21850
865	140174	21689
866	140345	21529
867	140505	21367
868	140645	21201
869	140825	21042
870	140995	20882
871	141175	20722
872	141325	20559
873	141495	20398
874	141656	20236
875	141835	20077
876	142005	19916
877	142175	19755
878	142336	19593
879	142496	19431
880	142665	19270
881	142836	19109
882	143015	18949
883	143185	18789
884	143355	18628
885	143545	18469
886	143715	18308
887	143894	18148
888	144084	17990
889	144255	17829
890	144424	17668
891	144585	17505
892	144745	17343
893	144915	17182
894	145094	17022
895	145254	16859
896	145424	16698
897	145594	16537
898	145773	16377
899	145873	16208
900	146043	16046
901	146223	15886
902	146412	15727
903	146582	15566
904	146762	15406
905	146942	15245
906	147092	15082
907	147242	14918
908	147393	14755
909	147533	14591
910	147673	14426
911	147843	14265
912	148012	14104
913	148162	13940
914	148303	13776
915	148444	13612
916	148595	13449
917	148764	13288
918	148924	13126
919	149083	12963
920	149233	12800
921	149382	12637
922	149523	12473
923	149665	12310
924	149836	12148
925	149986	11985
926	150156	11824
927	150317	11662
928	150506	11502
929	150666	11340
930	150816	11177
931	150985	11016
932	151136	10853
933	151315	10692
934	151474	10530
935	151644	10368
936	151804	10206
937	151954	10043
938	152113	9881
939	152263	9718
940	152424	9556
941	152584	9394
942	152754	9233
943	152925	9071
944	153094	8910
945	153244	8747
946	153394	8584
947	153554	8422
948	153714	8260
949	153894	8099
950	154054	7937
951	154223	7775
952	154364	7612
953	154504	7449
954	154654	7287
955	154823	7125
956	154983	6963
957	155133	6801
958	155284	6638
959	155444	6476
960	155604	6314
961	155763	6152
962	155913	5990
963	156073	5828
964	156252	5667
965	156403	5504
966	156572	5343
967	156733	5181
968	156892	5019
969	157053	4857
970	157203	4695
971	157382	4533
972	157552	4371
973	157703	4209
974	157863	4047
975	158032	3886
976	158212	3724
977	158413	3563
978	158573	3401
979	158723	3239
980	158903	3077
981	159063	2915
982	159223	2753
983	159403	2591
984	159563	2429
985	159753	2268
986	159924	2106
987	160095	1944
988	160245	1782
989	160424	1620
990	160613	1458
991	160793	1296
992	160954	1134
993	161113	972
994	161283	810
995	161443	648
996	161632	486
997	161803	324
998	161963	162
999	162133	0
